timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0122]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.704]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2126]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7858]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4262]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1745]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0661]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1312]
[0.018],[1.7358],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6053]
[0.02],[1.734],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1246]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5478]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3728]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9612]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3208]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4644]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4087]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1733]
[0.036],[1.7291],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7806]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2546]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6203]
[0.042],[1.732],[0.0035 0.0035 0.0035 0.001  0.001  0.001 ],[-3.8986]
[0.044],[1.7334],[0.005 0.005 0.005 0.001 0.001 0.001],[-3.131]
[0.046],[1.7349],[0.0059 0.0059 0.0059 0.001  0.001  0.001 ],[-2.3381]
[0.048],[1.7365],[0.0064 0.0064 0.0064 0.001  0.001  0.001 ],[-1.5428]
[0.05],[1.7381],[0.0067 0.0067 0.0067 0.001  0.001  0.001 ],[-0.7648]
[0.052],[1.7397],[0.0069 0.0069 0.0069 0.001  0.001  0.001 ],[-0.0221]
[0.054],[1.7413],[0.007 0.007 0.007 0.001 0.001 0.001],[0.6693]
[0.056],[1.7428],[0.0071 0.0071 0.0071 0.001  0.001  0.001 ],[1.2959]
[0.058],[1.7443],[0.0072 0.0072 0.0072 0.001  0.001  0.001 ],[1.8469]
[0.06],[1.7456],[0.0072 0.0072 0.0072 0.001  0.001  0.001 ],[2.3139]
[0.062],[1.7468],[0.009 0.009 0.009 0.001 0.001 0.001],[3.1733]
[0.064],[1.7477],[0.01  0.01  0.01  0.001 0.001 0.001],[3.3708]
[0.066],[1.7485],[0.0107 0.0107 0.0107 0.001  0.001  0.001 ],[3.4672]
[0.068],[1.7491],[0.0111 0.0111 0.0111 0.001  0.001  0.001 ],[3.4679]
[0.07],[1.7495],[0.0113 0.0113 0.0113 0.001  0.001  0.001 ],[3.3803]
[0.072],[1.7497],[0.0115 0.0115 0.0115 0.001  0.001  0.001 ],[3.2132]
[0.074],[1.7498],[0.0116 0.0116 0.0116 0.001  0.001  0.001 ],[2.9763]
[0.076],[1.7497],[0.0116 0.0116 0.0116 0.001  0.001  0.001 ],[2.6803]
[0.078],[1.7494],[0.0117 0.0117 0.0117 0.001  0.001  0.001 ],[2.3366]
[0.08],[1.749],[0.0117 0.0117 0.0117 0.001  0.001  0.001 ],[1.9566]
[0.082],[1.7485],[0.0115 0.0115 0.0115 0.0035 0.0035 0.002 ],[1.5104]
[0.084],[1.7479],[0.0113 0.0113 0.0113 0.005  0.005  0.0027],[1.118]
[0.086],[1.7473],[0.0111 0.0111 0.0111 0.0059 0.0059 0.003 ],[0.7302]
[0.088],[1.7466],[0.0109 0.0109 0.0109 0.0064 0.0064 0.0033],[0.3556]
[0.09],[1.7459],[0.0108 0.0108 0.0108 0.0068 0.0068 0.0034],[0.0011]
[0.092],[1.7452],[0.0106 0.0106 0.0106 0.007  0.007  0.0035],[-0.3269]
[0.094],[1.7445],[0.0104 0.0104 0.0104 0.0071 0.0071 0.0035],[-0.6228]
[0.096],[1.7439],[0.0102 0.0102 0.0102 0.0072 0.0072 0.0036],[-0.8822]
[0.098],[1.7433],[0.0101 0.0101 0.0101 0.0072 0.0072 0.0036],[-1.1017]
[0.1],[1.7428],[0.0099 0.0099 0.0099 0.0072 0.0072 0.0036],[-1.2791]
[0.102],[1.7423],[0.0098 0.0098 0.0098 0.009  0.009  0.0044],[-1.6107]
[0.104],[1.7419],[0.0096 0.0096 0.0096 0.0101 0.0101 0.0049],[-1.6575]
[0.106],[1.7417],[0.0094 0.0094 0.0094 0.0107 0.0107 0.0052],[-1.656]
[0.108],[1.7415],[0.0093 0.0093 0.0093 0.0111 0.0111 0.0054],[-1.6107]
[0.11],[1.7413],[0.0091 0.0091 0.0091 0.0113 0.0113 0.0055],[-1.5265]
[0.112],[1.7413],[0.009  0.009  0.009  0.0115 0.0115 0.0055],[-1.4089]
[0.114],[1.7413],[0.0089 0.0089 0.0089 0.0116 0.0116 0.0056],[-1.2631]
[0.116],[1.7414],[0.0087 0.0087 0.0087 0.0116 0.0116 0.0056],[-1.095]
[0.118],[1.7416],[0.0086 0.0086 0.0086 0.0117 0.0117 0.0056],[-0.9102]
[0.12],[1.7418],[0.0084 0.0084 0.0084 0.0117 0.0117 0.0056],[-0.7143]
[0.122],[1.7421],[0.0083 0.0083 0.0083 0.0115 0.0115 0.0055],[-0.4577]
[0.124],[1.7423],[0.0082 0.0082 0.0082 0.0113 0.0113 0.0054],[-0.2669]
[0.126],[1.7426],[0.0081 0.0081 0.0081 0.0111 0.0111 0.0054],[-0.0814]
[0.128],[1.7429],[0.008  0.008  0.008  0.0109 0.0109 0.0053],[0.0942]
[0.13],[1.7432],[0.0079 0.0079 0.0079 0.0108 0.0108 0.0052],[0.2565]
[0.132],[1.7435],[0.0079 0.0079 0.0079 0.0106 0.0106 0.0051],[0.4026]
[0.134],[1.7438],[0.0078 0.0078 0.0078 0.0104 0.0104 0.005 ],[0.5301]
[0.136],[1.744],[0.0077 0.0077 0.0077 0.0102 0.0102 0.005 ],[0.6373]
[0.138],[1.7442],[0.0076 0.0076 0.0076 0.0101 0.0101 0.0049],[0.7231]
[0.14],[1.7444],[0.0075 0.0075 0.0075 0.0099 0.0099 0.0048],[0.7872]
[0.142],[1.7446],[0.0074 0.0074 0.0074 0.0098 0.0098 0.0047],[0.925]
[0.144],[1.7447],[0.0073 0.0073 0.0073 0.0096 0.0096 0.0047],[0.9302]
[0.146],[1.7447],[0.0072 0.0072 0.0072 0.0094 0.0094 0.0046],[0.9146]
[0.148],[1.7447],[0.0072 0.0072 0.0072 0.0093 0.0093 0.0045],[0.8803]
[0.15],[1.7447],[0.0071 0.0071 0.0071 0.0091 0.0091 0.0044],[0.8293]
[0.152],[1.7447],[0.007  0.007  0.007  0.009  0.009  0.0044],[0.7642]
[0.154],[1.7446],[0.0069 0.0069 0.0069 0.0088 0.0088 0.0043],[0.6874]
[0.156],[1.7445],[0.0068 0.0068 0.0068 0.0087 0.0087 0.0042],[0.6018]
[0.158],[1.7443],[0.0068 0.0068 0.0068 0.0086 0.0086 0.0042],[0.5098]
[0.16],[1.7442],[0.0067 0.0067 0.0067 0.0084 0.0084 0.0041],[0.4143]
[0.162],[1.744],[0.0066 0.0066 0.0066 0.0084 0.0084 0.0041],[0.2884]
[0.164],[1.7438],[0.0065 0.0065 0.0065 0.0083 0.0083 0.004 ],[0.199]
[0.166],[1.7436],[0.0064 0.0064 0.0064 0.0082 0.0082 0.004 ],[0.1133]
[0.168],[1.7435],[0.0063 0.0063 0.0063 0.0082 0.0082 0.004 ],[0.0332]
[0.17],[1.7433],[0.0062 0.0062 0.0062 0.0081 0.0081 0.0039],[-0.0396]
[0.172],[1.7431],[0.0061 0.0061 0.0061 0.008  0.008  0.0039],[-0.1041]
[0.174],[1.743],[0.006  0.006  0.006  0.008  0.008  0.0039],[-0.1592]
[0.176],[1.7428],[0.0059 0.0059 0.0059 0.0079 0.0079 0.0039],[-0.2043]
[0.178],[1.7427],[0.0058 0.0058 0.0058 0.0078 0.0078 0.0038],[-0.2391]
[0.18],[1.7426],[0.0057 0.0057 0.0057 0.0078 0.0078 0.0038],[-0.2635]
[0.182],[1.7425],[0.0056 0.0056 0.0056 0.0077 0.0077 0.0038],[-0.319]
[0.184],[1.7424],[0.0055 0.0055 0.0055 0.0076 0.0076 0.0037],[-0.3164]
[0.186],[1.7424],[0.0054 0.0054 0.0054 0.0075 0.0075 0.0037],[-0.3045]
[0.188],[1.7423],[0.0054 0.0054 0.0054 0.0074 0.0074 0.0037],[-0.2843]
[0.19],[1.7423],[0.0053 0.0053 0.0053 0.0074 0.0074 0.0036],[-0.2568]
[0.192],[1.7423],[0.0052 0.0052 0.0052 0.0073 0.0073 0.0036],[-0.2234]
[0.194],[1.7424],[0.0051 0.0051 0.0051 0.0072 0.0072 0.0036],[-0.1852]
[0.196],[1.7424],[0.0051 0.0051 0.0051 0.0072 0.0072 0.0035],[-0.1434]
[0.198],[1.7424],[0.005  0.005  0.005  0.0071 0.0071 0.0035],[-0.0995]
[0.2],[1.7425],[0.0049 0.0049 0.0049 0.007  0.007  0.0035],[-0.0544]
[0.202],[1.7426],[0.0048 0.0048 0.0048 0.0069 0.0069 0.0034],[0.0072]
[0.204],[1.7426],[0.0048 0.0048 0.0048 0.0068 0.0068 0.0034],[0.0477]
[0.206],[1.7427],[0.0047 0.0047 0.0047 0.0067 0.0067 0.0033],[0.0859]
[0.208],[1.7428],[0.0047 0.0047 0.0047 0.0066 0.0066 0.0033],[0.1209]
[0.21],[1.7428],[0.0046 0.0046 0.0046 0.0065 0.0065 0.0032],[0.152]
[0.212],[1.7429],[0.0046 0.0046 0.0046 0.0064 0.0064 0.0032],[0.1787]
[0.214],[1.7429],[0.0045 0.0045 0.0045 0.0063 0.0063 0.0032],[0.2008]
[0.216],[1.743],[0.0044 0.0044 0.0044 0.0062 0.0062 0.0031],[0.218]
[0.218],[1.743],[0.0044 0.0044 0.0044 0.0061 0.0061 0.0031],[0.2303]
[0.22],[1.743],[0.0043 0.0043 0.0043 0.006  0.006  0.003 ],[0.2377]
[0.222],[1.7431],[0.0043 0.0043 0.0043 0.0059 0.0059 0.003 ],[0.2584]
[0.224],[1.7431],[0.0042 0.0042 0.0042 0.0058 0.0058 0.003 ],[0.2536]
[0.226],[1.7431],[0.0042 0.0042 0.0042 0.0057 0.0057 0.0029],[0.2446]
[0.228],[1.7431],[0.0041 0.0041 0.0041 0.0056 0.0056 0.0029],[0.2319]
[0.23],[1.7431],[0.0041 0.0041 0.0041 0.0056 0.0056 0.0028],[0.216]
[0.232],[1.743],[0.004  0.004  0.004  0.0055 0.0055 0.0028],[0.1975]
[0.234],[1.743],[0.004  0.004  0.004  0.0054 0.0054 0.0028],[0.1771]
[0.236],[1.743],[0.0039 0.0039 0.0039 0.0053 0.0053 0.0027],[0.1554]
[0.238],[1.7429],[0.0039 0.0039 0.0039 0.0052 0.0052 0.0027],[0.1329]
[0.24],[1.7429],[0.0038 0.0038 0.0038 0.0052 0.0052 0.0027],[0.1103]
[0.242],[1.7429],[0.0038 0.0038 0.0038 0.0051 0.0051 0.0027],[0.0788]
[0.244],[1.7428],[0.0037 0.0037 0.0037 0.0051 0.0051 0.0026],[0.0591]
[0.246],[1.7428],[0.0037 0.0037 0.0037 0.005  0.005  0.0026],[0.0409]
[0.248],[1.7427],[0.0036 0.0036 0.0036 0.0049 0.0049 0.0026],[0.0243]
[0.25],[1.7427],[0.0036 0.0036 0.0036 0.0049 0.0049 0.0026],[0.0097]
[0.252],[1.7427],[0.0035 0.0035 0.0035 0.0048 0.0048 0.0025],[-0.0028]
[0.254],[1.7426],[0.0035 0.0035 0.0035 0.0048 0.0048 0.0025],[-0.0129]
[0.256],[1.7426],[0.0034 0.0034 0.0034 0.0047 0.0047 0.0025],[-0.0207]
[0.258],[1.7426],[0.0034 0.0034 0.0034 0.0047 0.0047 0.0025],[-0.0261]
[0.26],[1.7425],[0.0034 0.0034 0.0034 0.0046 0.0046 0.0024],[-0.0292]
[0.262],[1.7425],[0.0033 0.0033 0.0033 0.0045 0.0045 0.0024],[-0.0384]
[0.264],[1.7425],[0.0033 0.0033 0.0033 0.0045 0.0045 0.0024],[-0.0359]
[0.266],[1.7425],[0.0032 0.0032 0.0032 0.0044 0.0044 0.0024],[-0.0316]
