timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.744],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.029]
[0.004],[1.7446],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7189]
[0.006],[1.7446],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2239]
[0.008],[1.7439],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7937]
[0.01],[1.7428],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4311]
[0.012],[1.7413],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1766]
[0.014],[1.7396],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0657]
[0.016],[1.7378],[0.001 0.001 0.001 0.001 0.001 0.001],[1.1287]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6097]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1303]
[0.022],[1.7325],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.556]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3815]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9701]
[0.028],[1.7293],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3296]
[0.03],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4728]
[0.032],[1.7286],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4164]
[0.034],[1.7288],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1802]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7865]
[0.038],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2594]
[0.04],[1.7309],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6239]
[0.042],[1.7321],[0.001  0.001  0.001  0.001  0.001  0.0011],[-3.9007]
[0.044],[1.7335],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-3.1182]
[0.046],[1.735],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-2.303]
[0.048],[1.7366],[0.001  0.001  0.001  0.0011 0.001  0.0012],[-1.4804]
