timeVals,jointPos,muscleAct,motorTorque
[0.002],[1.7439],[0.0004 0.0004 0.0004 0.0004 0.0004 0.0004],[16.0119]
[0.004],[1.7445],[0.0006 0.0006 0.0006 0.0006 0.0006 0.0006],[14.7036]
[0.006],[1.7445],[0.0008 0.0008 0.0008 0.0008 0.0008 0.0008],[12.2122]
[0.008],[1.7438],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[9.7854]
[0.01],[1.7427],[0.0009 0.0009 0.0009 0.0009 0.0009 0.0009],[7.4259]
[0.012],[1.7412],[0.001 0.001 0.001 0.001 0.001 0.001],[5.1742]
[0.014],[1.7395],[0.001 0.001 0.001 0.001 0.001 0.001],[3.0658]
[0.016],[1.7377],[0.001 0.001 0.001 0.001 0.001 0.001],[1.131]
[0.018],[1.7359],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6055]
[0.02],[1.7341],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.1248]
[0.022],[1.7324],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.5479]
[0.024],[1.7311],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.3729]
[0.026],[1.73],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.9613]
[0.028],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.3209]
[0.03],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4645]
[0.032],[1.7285],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.4087]
[0.034],[1.7287],[0.001 0.001 0.001 0.001 0.001 0.001],[-6.1733]
[0.036],[1.7292],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.7806]
[0.038],[1.7299],[0.001 0.001 0.001 0.001 0.001 0.001],[-5.2545]
[0.04],[1.7308],[0.001 0.001 0.001 0.001 0.001 0.001],[-4.6202]
[0.042],[1.732],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.8985]
[0.044],[1.7334],[0.001 0.001 0.001 0.001 0.001 0.001],[-3.1175]
[0.046],[1.7349],[0.001 0.001 0.001 0.001 0.001 0.001],[-2.304]
[0.048],[1.7365],[0.001 0.001 0.001 0.001 0.001 0.001],[-1.4832]
[0.05],[1.7381],[0.001 0.001 0.001 0.001 0.001 0.001],[-0.6766]
[0.052],[1.7398],[0.001 0.001 0.001 0.001 0.001 0.001],[0.0963]
[0.054],[1.7414],[0.001 0.001 0.001 0.001 0.001 0.001],[0.8185]
[0.056],[1.743],[0.001 0.001 0.001 0.001 0.001 0.001],[1.4754]
[0.058],[1.7445],[0.001 0.001 0.001 0.001 0.001 0.001],[2.0555]
[0.06],[1.7458],[0.001 0.001 0.001 0.001 0.001 0.001],[2.5497]
[0.062],[1.747],[0.001  0.001  0.001  0.0017 0.0017 0.0012],[3.4526]
[0.064],[1.7481],[0.001  0.001  0.001  0.0021 0.0021 0.0014],[3.6818]
[0.066],[1.7489],[0.001  0.001  0.001  0.0024 0.0024 0.0015],[3.8138]
[0.068],[1.7495],[0.001  0.001  0.001  0.0026 0.0026 0.0015],[3.8516]
[0.07],[1.75],[0.001  0.001  0.001  0.0027 0.0027 0.0016],[3.8006]
[0.072],[1.7502],[0.001  0.001  0.001  0.0027 0.0027 0.0016],[3.6683]
[0.074],[1.7503],[0.001  0.001  0.001  0.0027 0.0027 0.0016],[3.4634]
